championId,win,kills,deaths,assists,visionScore,controlWardsBought,totalGold,f10_goldPerMin,creepScore,f10_csPerMin,f10_csDiffPerMin,f10_xpPerMin,f10_xpDiffPerMin,firstBloodKill,firstBloodAssist,firstBloodTakedown,firstTowerKill,firstTowerAssist,firstTowerTakedown,team_firstDragon,team_firstHerald,team_firstBaron,team_dragonKills
31,True,9,4,6,24,4,13530,303.6,189,7.7,-0.09999999999999964,456.5,-56.29999999999998,False,False,False,False,False,False,False,True,True,3
6,True,5,3,10,28,2,9111,199.2,120,3.5,-4.1000000000000005,304.3,-177.5,False,False,False,False,False,False,True,True,True,3
31,True,7,5,15,31,9,13295,247.3,171,6.199999999999999,-1.8000000000000007,437.1,-67.29999999999998,False,False,False,False,False,False,False,True,False,4
31,True,9,6,23,32,8,14655,358.0,154,4.6,-1.4000000000000001,459.20000000000005,81.0,False,False,False,False,False,False,True,False,True,4
31,True,16,3,12,16,1,17212,368.4,154,5.699999999999999,0.5,479.0,131.49999999999997,False,False,False,False,False,False,False,True,True,4
31,True,4,2,6,27,4,10109,231.0,156,5.8,-1.7000000000000006,454.4,12.299999999999983,False,False,False,False,False,False,True,False,True,4
39,False,6,9,1,14,2,10847,364.2,154,6.4,-0.10000000000000009,390.79999999999995,-54.10000000000002,False,False,False,False,False,False,False,True,False,0
119,False,2,5,5,22,6,9802,223.7,176,4.199999999999999,,335.3,,False,False,False,False,False,False,False,False,False,0
31,False,1,4,11,20,3,8410,194.7,112,3.9000000000000004,-3.1,367.1,-31.90000000000002,False,False,False,True,False,True,True,False,False,2
39,True,6,4,11,21,4,14394,304.7,237,7.5,3.3000000000000003,456.0,106.69999999999999,False,False,False,False,False,False,True,True,False,2
30,True,7,5,7,15,3,10225,304.5,153,7.9,,465.3,,False,False,False,False,False,False,True,True,True,1
133,True,11,3,8,21,2,11694,349.6,120,7.2,1.4000000000000001,440.4,26.799999999999983,False,False,False,False,False,False,True,True,True,2
58,False,1,3,2,11,2,7122,215.5,139,5.5,-0.7000000000000002,409.8,0.8000000000000114,False,False,False,False,False,False,False,False,False,0
31,True,4,2,9,12,1,9947,239.10000000000002,136,5.9,-2.0999999999999996,451.79999999999995,-36.60000000000002,False,False,False,False,False,False,False,False,True,3
